,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
1800,FC Empoli,Attack Centre-Forward,182.0,35.0,78,0.269192423,0.164506481,0.029910269,0.0,0.0,0.0,0.0,6018,93,15,4,1500000,7500000
1801,FC Empoli,Attack Centre-Forward,195.0,32.0,48,0.35335689,0.035335689,0.247349823,0.0,0.0,0.0,0.0,2547,411,54,2,1500000,17000000
1806,US Lecce,Defender Centre-Back,193.0,26.0,70,0.117100372,0.016728625,0.150557621,0.0,0.0,0.0,0.0,5380,6,2,0,8000000,8000000
1809,US Lecce,Defender Centre-Back,193.0,27.0,58,0.053254438,0.035502959,0.177514793,0.017751479,0.017751479,0.0,0.0,5070,0,0,2,2000000,2500000
1810,US Lecce,Defender Centre-Back,184.0,33.0,36,0.072057646,0.0,0.180144115,0.0,0.0,0.0,0.0,2498,176,32,6,750000,1900000
1814,US Lecce,Defender Left-Back,179.0,23.0,60,0.020098258,0.060294774,0.140687807,0.020098258,0.0,0.0,0.0,4478,53,9,2,2000000,2000000
1815,US Lecce,Defender Right-Back,185.0,22.0,71,0.0,0.082056893,0.11487965,0.0,0.0,0.0,0.0,5484,22,2,1,4000000,4000000
1816,US Lecce,Defender Right-Back,186.0,23.0,47,0.024875622,0.024875622,0.373134328,0.0,0.0,0.0,0.0,3618,85,12,2,900000,900000
1817,US Lecce,Defender Right-Back,185.0,21.0,36,0.148809524,0.119047619,0.297619048,0.0,0.029761905,0.0,0.0,3024,0,0,0,100000,100000
1818,US Lecce,midfield-DefensiveMidfield,184.0,23.0,74,0.0,0.112817299,0.225634597,0.0,0.014102162,0.0,0.0,6382,29,3,1,12000000,12000000
1819,US Lecce,midfield-DefensiveMidfield,184.0,19.0,71,0.076045627,0.133079848,0.152091255,0.0,0.0,0.0,0.0,4734,18,3,3,2000000,2200000
1820,US Lecce,midfield-DefensiveMidfield,190.0,26.0,65,0.048806941,0.048806941,0.34164859,0.0,0.0,0.0,0.0,3688,51,3,1,2000000,8000000
1821,US Lecce,midfield-CentralMidfield,179.0,21.0,68,0.16400081,0.109333873,0.218667747,0.018222312,0.0,0.0,0.0,4939,0,0,0,6000000,6000000
1825,US Lecce,midfield-CentralMidfield,169.0,19.0,74,0.25200672,0.08400224,0.100802688,0.0,0.0,0.0,0.0,5357,7,1,1,100000,100000
1826,US Lecce,Attack-LeftWinger,171.0,22.0,70,0.218543046,0.059602649,0.298013245,0.0,0.01986755,0.0,0.0,4530,38,4,0,3000000,3000000
1827,US Lecce,Attack-LeftWinger,168.0,28.0,65,0.171475231,0.14697877,0.220468155,0.0,0.0,0.0,0.0,3674,257,36,0,1500000,5000000
1828,US Lecce,Attack-RightWinger,186.0,26.0,72,0.386266094,0.16794178,0.218324314,0.0,0.0,0.0,0.0,5359,27,6,2,10000000,10000000
1829,US Lecce,Attack-RightWinger,183.0,26.0,64,0.206557377,0.147540984,0.236065574,0.0,0.0,0.0,0.0,3050,0,0,0,4000000,11000000
1830,US Lecce,Attack Centre-Forward,188.0,21.0,69,0.289699571,0.072424893,0.26555794,0.024141631,0.0,0.0,0.0,3728,102,13,0,5000000,5000000
1837,Spezia Calcio,Defender Centre-Back,188.0,22.0,65,0.016901408,0.067605634,0.371830986,0.033802817,0.016901408,0.0,0.0,5325,370,46,3,9000000,15000000
1838,Spezia Calcio,Defender Centre-Back,195.0,24.0,76,0.027548209,0.0,0.220385675,0.0,0.013774105,0.0,0.0,6534,0,0,2,3800000,4000000
1839,Spezia Calcio,Defender Centre-Back,187.0,24.0,71,0.0152207,0.0152207,0.197869102,0.0,0.0,0.0,0.0,5913,0,0,0,3000000,3000000
1840,Spezia Calcio,Defender Centre-Back,187.0,29.0,55,0.021023125,0.042046251,0.315346882,0.0,0.0,0.0,0.0,4281,478,73,0,2500000,25000000
1841,Spezia Calcio,Defender Left-Back,183.0,27.0,58,0.021999511,0.109997556,0.1979956,0.0,0.0,0.0,0.0,4091,311,40,0,3000000,4000000
1843,Spezia Calcio,Defender Right-Back,180.0,23.0,49,0.097534543,0.097534543,0.316987266,0.0,0.0,0.0,0.0,3691,0,0,0,5000000,5000000
1844,Spezia Calcio,Defender Right-Back,184.0,25.0,65,0.017445241,0.034890483,0.209342896,0.034890483,0.017445241,0.0,0.0,5159,231,23,0,3500000,7000000
1846,Spezia Calcio,midfield-DefensiveMidfield,183.0,22.0,72,0.10248624,0.0854052,0.256215601,0.01708104,0.0,0.0,0.0,5269,40,4,2,3500000,3500000
1847,Spezia Calcio,midfield-DefensiveMidfield,186.0,31.0,48,0.054678007,0.082017011,0.109356015,0.0,0.0,0.0,0.0,3292,306,44,2,1300000,4000000
1849,Spezia Calcio,midfield-CentralMidfield,185.0,26.0,52,0.124412497,0.223942494,0.323472491,0.0,0.024882499,0.0,0.0,3617,175,29,0,7500000,7500000
1850,Spezia Calcio,midfield-CentralMidfield,181.0,25.0,52,0.182741117,0.121827411,0.182741117,0.0,0.0,0.0,0.0,2955,102,22,1,4500000,7000000
1852,Spezia Calcio,midfield-CentralMidfield,178.0,20.0,54,0.173611111,0.069444444,0.104166667,0.0,0.0,0.0,0.0,2592,0,0,1,500000,500000
1854,Spezia Calcio,midfield-AttackingMidfield,182.0,24.0,61,0.075736325,0.050490884,0.201963534,0.0,0.025245442,0.0,0.0,3565,88,14,0,3500000,3500000
1857,Spezia Calcio,Attack-LeftWinger,168.0,29.0,73,0.120582817,0.015072852,0.301457042,0.0,0.0,0.0,0.0,5971,106,12,0,2500000,2500000
1858,Spezia Calcio,Attack-RightWinger,190.0,26.0,63,0.380549683,0.190274841,0.081546361,0.0,0.0,0.0,0.0,3311,197,31,0,4000000,5000000
1860,Spezia Calcio,Attack Centre-Forward,186.0,26.0,56,0.378619154,0.08908686,0.244988864,0.0,0.0,0.0,0.0,4041,120,23,0,6500000,6500000
1865,Hellas Verona,Defender Centre-Back,189.0,24.0,41,0.026362039,0.0,0.289982425,0.0,0.0,0.0,0.0,3414,22,3,0,6000000,6000000
1866,Hellas Verona,Defender Centre-Back,187.0,28.0,44,0.029032258,0.029032258,0.290322581,0.0,0.029032258,0.0,0.0,3100,423,61,0,3500000,5000000
1867,Hellas Verona,Defender Centre-Back,191.0,31.0,58,0.069177556,0.0,0.43812452,0.023059185,0.023059185,0.0,0.0,3903,108,15,0,3000000,4000000
1869,Hellas Verona,Defender Centre-Back,186.0,19.0,39,0.0,0.0,0.194664744,0.0,0.0,0.0,0.0,2774,142,16,0,3000000,3000000
1871,Hellas Verona,Defender Left-Back,180.0,21.0,64,0.039079462,0.136778116,0.039079462,0.0,0.0,0.0,0.0,4606,66,14,0,10000000,10000000
1873,Hellas Verona,Defender Right-Back,177.0,26.0,61,0.081867799,0.109157065,0.354760461,0.0,0.0,0.0,0.0,3298,157,18,0,3000000,5000000
1875,Hellas Verona,midfield-DefensiveMidfield,192.0,29.0,79,0.061601643,0.030800821,0.107802875,0.0,0.0,0.0,0.0,5844,13,3,0,8000000,10000000
1876,Hellas Verona,midfield-DefensiveMidfield,180.0,26.0,44,0.033345684,0.100037051,0.233419785,0.033345684,0.0,0.0,0.0,2699,119,17,2,5000000,7500000
1879,Hellas Verona,midfield-RightMidfield,181.0,20.0,56,0.0,0.104196816,0.156295224,0.0,0.0,0.0,0.0,3455,7,1,0,1000000,1000000
1880,Hellas Verona,midfield-LeftMidfield,174.0,32.0,67,0.10248624,0.239134561,0.05124312,0.0,0.0,0.0,0.0,5269,403,49,2,2500000,5000000
1882,Hellas Verona,midfield-AttackingMidfield,180.0,28.0,67,0.095364238,0.02384106,0.357615894,0.0,0.0,0.0,0.0,3775,381,70,6,4000000,17000000
1885,Hellas Verona,Attack-RightWinger,191.0,23.0,62,0.418604651,0.156976744,0.183139535,0.0,0.026162791,0.0,0.0,3440,78,11,0,1300000,1400000
1886,Hellas Verona,Attack Centre-Forward,181.0,28.0,55,0.348066298,0.099447514,0.223756906,0.024861878,0.0,0.0,0.0,3620,159,22,0,4000000,5000000
1887,Hellas Verona,Attack Centre-Forward,190.0,30.0,56,0.12465374,0.155817175,0.093490305,0.0,0.0,0.0,0.0,2888,226,30,1,2000000,8000000
1889,Hellas Verona,Attack Centre-Forward,180.0,33.0,65,0.142517815,0.166270784,0.213776722,0.0,0.0,0.0,0.0,3789,249,43,1,1000000,1500000
1894,UC Sampdoria,Defender Centre-Back,187.0,28.0,55,0.041417395,0.020708698,0.331339162,0.0,0.0,0.0,0.0,4346,554,80,6,4500000,5000000
1895,UC Sampdoria,Defender Centre-Back,191.0,21.0,46,0.025104603,0.025104603,0.351464435,0.025104603,0.0,0.0,0.0,3585,87,1,1,2700000,2700000
1896,UC Sampdoria,Defender Centre-Back,182.0,33.0,56,0.021802326,0.043604651,0.152616279,0.0,0.0,0.0,0.0,4128,376,59,5,2000000,5000000
1899,UC Sampdoria,Defender Left-Back,181.2403529,28.0,78,0.046607975,0.124287934,0.046607975,0.0,0.0,0.0,0.0,5793,7,1,0,2500000,4000000
1904,UC Sampdoria,midfield-DefensiveMidfield,177.0,35.0,64,0.0,0.041522491,0.311418685,0.0,0.020761246,0.0,0.0,4335,245,22,2,800000,9000000
